hospcode|hospname
8899210209314|โรงพยาบาลส่งเสริมสุขภาพตำบลท่าชี จังหวัดสุราษฎร์ธานี
8899210200026|โรงพยาบาลดอยเต่า จังหวัดเชียงใหม่
8899210201142|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคุย จังหวัดกาฬสินธุ์
8899210202338|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยผึ้ง ตำบลท่าแฝก จังหวัดอุตรดิตถ์
8899210203537|โรงพยาบาลส่งเสริมสุขภาพตำบลโตนด อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา
8899210204765|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองกราด  หนองตระครอง จังหวัดบุรีรัมย์
8899210206002|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่คะเมย ตำบลแก่งกระจาน จังหวัดเพชรบุรี
8899210207216|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสองพี่น้อง จังหวัดระยอง
8899210208418|โรงพยาบาลส่งเสริมสุขภาพตำบลป่ายาง จังหวัดสงขลา
8899210209641|โรงพยาบาลส่งเสริมสุขภาพตำบลหนองสนิท จังหวัดสุรินทร์
8899210200386|โรงพยาบาลเกาะกูด จังหวัดตราด
8899210201435|โรงพยาบาลส่งเสริมสุขภาพตำบลทางขวาง จังหวัดขอนแก่น
8899210202662|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านศาลาไชย ตำบลศาลา จังหวัดลำปาง
8899210203866|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตรงบน ตำบลคลองกระบือ จังหวัดนครศรีธรรมราช
8899210205079|โรงพยาบาลส่งเสริมสุขภาพตำบลกอลำ จังหวัดปัตตานี
8899210206299|โรงพยาบาลส่งเสริมสุขภาพตำบลมหาวัน จังหวัดตาก
8899210207522|โรงพยาบาลส่งเสริมสุขภาพตำบลหนองทรายขาว จังหวัดลพบุรี
8899210208724|โรงพยาบาลส่งเสริมสุขภาพตำบลโคคลาน ตำบลโคคลาน จังหวัดสระแก้ว
8899210209940|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านศาลา จังหวัดอำนาจเจริญ
8899210210657|โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยข่า จังหวัดอุบลราชธานี
8899210200522|โรงพยาบาลผาขาว จังหวัดเลย
8899210201740|โรงพยาบาลส่งเสริมสุขภาพตำบลหนองบัว จังหวัดจันทบุรี
8899210202962|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโป่ง จังหวัดตราด
8899210204171|โรงพยาบาลส่งเสริมสุขภาพตำบลหินฮาว ตำบลหินฮาว จังหวัดเพชรบูรณ์
8899210205396|โรงพยาบาลส่งเสริมสุขภาพตำบลหนองน้ำใหญ่ จังหวัดพระนครศรีอยุธยา
8899210206604|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเหล่า ตำบลบ้านเหล่า จังหวัดมุกดาหาร
8899210207820|โรงพยาบาลส่งเสริมสุขภาพตำบลปากหมัน จังหวัดเลย
8899210209027|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่คำน้ำลัด จังหวัดเชียงราย
8899210210247|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเกาะแก้ว ตำบลปางมะค่า จังหวัดกำแพงเพชร
8899210200847|โรงพยาบาลปัตตานี จังหวัดปัตตานี
8899210202050|โรงพยาบาลส่งเสริมสุขภาพตำบลอำเภอมโนรมย์ จังหวัดชัยนาท
8899210203270|โรงพยาบาลส่งเสริมสุขภาพตำบลสระกระเทียม จังหวัดนครปฐม
8899210204481|โรงพยาบาลส่งเสริมสุขภาพตำบลพันเสา จังหวัดพิษณุโลก
8899210205697|โรงพยาบาลส่งเสริมสุขภาพตำบลทุ่งรวงทอง จังหวัดพะเยา
8899210206946|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าลาด  ตำบลม่วงลาด จังหวัดร้อยเอ็ด
8899210208125|โรงพยาบาลส่งเสริมสุขภาพตำบลสร้างเหล่า จังหวัดศรีสะเกษ
8899210209333|โรงพยาบาลส่งเสริมสุขภาพตำบลบางงอน จังหวัดสุราษฎร์ธานี
8899210200048|โรงพยาบาลน่าน จังหวัดน่าน
8899210201161|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านต้อน จังหวัดกาฬสินธุ์
8899210202357|โรงพยาบาลส่งเสริมสุขภาพตำบลวังดิน จังหวัดอุตรดิตถ์
8899210203556|โรงพยาบาลส่งเสริมสุขภาพตำบลนาตาวงษ์ จังหวัดนครราชสีมา
8899210204784|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองบอน ตำบลหนองบอน จังหวัดบุรีรัมย์
8899210205764|โรงพยาบาลส่งเสริมสุขภาพตำบลสันโค้ง จังหวัดพะเยา
8899210206974|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบัวคำ    ตำบลบัวคำ จังหวัดร้อยเอ็ด
8899210208192|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาแก้วน้อย ตำบลนาแก้ว จังหวัดสกลนคร
8899210209401|โรงพยาบาลส่งเสริมสุขภาพตำบลป่าเว จังหวัดสุราษฎร์ธานี
8899210200124|โรงพยาบาลวัดโบสถ์ จังหวัดพิษณุโลก
8899210200740|โรงพยาบาลน้ำขุ่น จังหวัดอุบลราชธานี
8899210202424|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเพชรไฝ ตำบลบ้านกล้วย จังหวัดสุโขทัย
8899210203624|โรงพยาบาลส่งเสริมสุขภาพตำบลปอปิด จังหวัดนครราชสีมา
8899210204837|โรงพยาบาลส่งเสริมสุขภาพตำบลคูขวาง จังหวัดปทุมธานี
8899210206021|โรงพยาบาลส่งเสริมสุขภาพตำบลปากทะเล จังหวัดเพชรบุรี
8899210207235|โรงพยาบาลส่งเสริมสุขภาพตำบลพลา จังหวัดระยอง
8899210208437|โรงพยาบาลส่งเสริมสุขภาพตำบลวังไทร จังหวัดสงขลา
8899210209660|โรงพยาบาลส่งเสริมสุขภาพตำบลเดื่อ จังหวัดหนองคาย
8899210200405|โรงพยาบาลบางบ่อ จังหวัดสมุทรปราการ
8899210201454|โรงพยาบาลส่งเสริมสุขภาพตำบลโนนข่า จังหวัดขอนแก่น
8899210202671|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสันหลวง ตำบลปงยางคก จังหวัดลำปาง
8899210203886|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งนาใหม่ ตำบลยางค้อม จังหวัดนครศรีธรรมราช
8899210205099|โรงพยาบาลส่งเสริมสุขภาพตำบลตะลุโบะ จังหวัดปัตตานี
8899210206068|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่ากร่าง จังหวัดนครสวรรค์
8899210207282|โรงพยาบาลส่งเสริมสุขภาพตำบลท่าผา จังหวัดราชบุรี
8899210208484|โรงพยาบาลส่งเสริมสุขภาพตำบลทุ่งนุ้ย จังหวัดสตูล
8899210209707|โรงพยาบาลส่งเสริมสุขภาพตำบลรัตนวาปี จังหวัดหนองคาย
8899210201501|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทรัพย์เจริญ จังหวัดขอนแก่น
8899210202719|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านผาผ่า จังหวัดแม่ฮ่องสอน
8899210203935|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปากจัง ตำบลกะทูน จังหวัดนครศรีธรรมราช
8899210205146|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบือแนปิแน จังหวัดปัตตานี
8899210206318|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกอกหม่น ตำบลสันปูเลย จังหวัดเชียงใหม่
8899210207541|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปางม่วง ตำบลสบเปิง จังหวัดเชียงใหม่
8899210208743|โรงพยาบาลส่งเสริมสุขภาพตำบลบะขมิ้น ตำบลโคกปี่ฆ้อง จังหวัดสระแก้ว
8899210200543|โรงพยาบาลโพนนาแก้ว จังหวัดสกลนคร
8899210201768|โรงพยาบาลส่งเสริมสุขภาพตำบลท่าตะเกียบ  (บ้านท่ากลอย) จังหวัดฉะเชิงเทรา
8899210202981|โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยแร้ง จังหวัดตราด
8899210204190|โรงพยาบาลส่งเสริมสุขภาพตำบลตลุกเทียม จังหวัดพิษณุโลก
8899210205417|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดาน ตำบลไผ่ขวาง จังหวัดพิจิตร
8899210206366|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านขี จังหวัดมหาสารคาม
8899210207588|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ซา ตำบลแม่นาจร จังหวัดเชียงใหม่
8899210208790|โรงพยาบาลส่งเสริมสุขภาพตำบลราชันย์  ตำบลไทยอุดม จังหวัดสระแก้ว
8899210210008|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านซำป่ารัง   ต.บ้านจีต จังหวัดอุดรธานี
8899210200594|โรงพยาบาลบ้านเขว้า จังหวัดชัยภูมิ
8899210201818|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านม่วงโพรง  ตำบลเขาหินซ้อน จังหวัดฉะเชิงเทรา
8899210203028|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังเบอะ จังหวัดแพร่
8899210204238|โรงพยาบาลส่งเสริมสุขภาพตำบลตลาดขวัญ จังหวัดนนทบุรี
8899210206623|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดอนตัน ตำบลเหมืองแก้ว จังหวัดเชียงใหม่
8899210207839|โรงพยาบาลส่งเสริมสุขภาพตำบลศรีอุบล จังหวัดเลย
8899210209046|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวาวี จังหวัดเชียงราย
8899210210266|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าพุทรา  ตำบลพุทรา จังหวัดกำแพงเพชร
8899210200870|โรงพยาบาลยะลา จังหวัดยะลา
8899210202070|โรงพยาบาลส่งเสริมสุขภาพตำบลโคกกุง จังหวัดชัยภูมิ
8899210203289|โรงพยาบาลส่งเสริมสุขภาพตำบลอ้อมใหญ่ จังหวัดนครปฐม
8899210204500|โรงพยาบาลส่งเสริมสุขภาพตำบลสวนเมี่ยง จังหวัดพิษณุโลก
8899210205466|โรงพยาบาลส่งเสริมสุขภาพตำบลวังกรด จังหวัดพิจิตร
8899210206670|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้ำบ่อหลวง ตำบลน้ำบ่อหลวง จังหวัดเชียงใหม่
8899210207887|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกระเดา ตำบลดู่ จังหวัดศรีสะเกษ
8899210209094|โรงพยาบาลส่งเสริมสุขภาพตำบลผางาม จังหวัดเชียงราย
8899210210314|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองหล่ม  ตำบลโพธิ์ทอง จังหวัดกำแพงเพชร
8899210200917|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคลองม่วง จังหวัดกระบี่
8899210202117|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกมั่งงอย จังหวัดชัยภูมิ
8899210203336|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกสูง จังหวัดนครพนม
8899210204547|โรงพยาบาลส่งเสริมสุขภาพตำบลดงบัง จังหวัดบึงกาฬ
8899210205717|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปางถ้ำ จังหวัดพะเยา
8899210206924|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดงครั่งน้อย   ตำบลดงครั่งน้อย จังหวัดร้อยเอ็ด
8899210208144|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคำหมูน ตำบลเดื่อศรีคันไชย จังหวัดสกลนคร
8899210209353|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคลองโสด จังหวัดสุราษฎร์ธานี
8899210200071|โรงพยาบาลแพร่ จังหวัดแพร่
8899210201180|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาสีนวล จังหวัดกาฬสินธุ์
8899210202376|โรงพยาบาลส่งเสริมสุขภาพตำบลไกรใน จังหวัดสุโขทัย
8899210203575|โรงพยาบาลส่งเสริมสุขภาพตำบลโนนเมือง จังหวัดนครราชสีมา
8899210204790|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองโพรง ตำบลอิสาณ จังหวัดบุรีรัมย์
8899210205783|โรงพยาบาลส่งเสริมสุขภาพตำบลไชยสถาน จังหวัดน่าน
8899210206994|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพยอม  ตำบลดินดำ จังหวัดร้อยเอ็ด
8899210208211|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนเรือ ตำบลนาหัวบ่อ จังหวัดสกลนคร
8899210209420|โรงพยาบาลส่งเสริมสุขภาพตำบลเลม็ด จังหวัดสุราษฎร์ธานี
8899210200145|โรงพยาบาลอุตรดิตถ์ จังหวัดอุตรดิตถ์
8899210201743|โรงพยาบาลส่งเสริมสุขภาพตำบลหลวงประกอบนิติสาร (บ้านหนองอ้อ) จังหวัดจันทบุรี
8899210202443|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองเตาปูน  ตำบลตลิ่งชัน จังหวัดสุโขทัย
8899210203643|โรงพยาบาลส่งเสริมสุขภาพตำบลมะเกลือเก่า จังหวัดนครราชสีมา
8899210204857|โรงพยาบาลส่งเสริมสุขภาพตำบลบางพูน1 จังหวัดปทุมธานี
8899210206040|โรงพยาบาลส่งเสริมสุขภาพตำบลสระพัง จังหวัดเพชรบุรี
8899210207254|โรงพยาบาลส่งเสริมสุขภาพตำบลคลองข่อย จังหวัดราชบุรี
8899210208456|โรงพยาบาลส่งเสริมสุขภาพตำบลสามอ่าง จังหวัดสงขลา
8899210209679|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนายาง ตำบลพระบาทนาสิงห์ จังหวัดหนองคาย
8899210201473|โรงพยาบาลส่งเสริมสุขภาพตำบลบัวเงิน จังหวัดขอนแก่น
8899210202690|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใหม่ ตำบลดอนไฟ จังหวัดลำปาง
8899210203905|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้ำตก  ตำบลน้ำตก จังหวัดนครศรีธรรมราช
8899210205118|โรงพยาบาลส่งเสริมสุขภาพตำบลนาเกตุ จังหวัดปัตตานี
8899210206087|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบางตาหงาย จังหวัดนครสวรรค์
8899210207301|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคา จังหวัดราชบุรี
8899210208503|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านในเมือง ตำบลละงู จังหวัดสตูล
8899210209726|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกุดกระสู้    ตำบลเก่ากลอย จังหวัดหนองบัวลำภู
8899210210439|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกสะอาด ตำบลโคกสะอาด จังหวัดอุบลราชธานี
8899210201520|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนสะอาด จังหวัดขอนแก่น
8899210202739|โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ต๊อบเหนือ จังหวัดแม่ฮ่องสอน
8899210203956|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านมะขามเรียง ตำบลปากแพรก จังหวัดนครศรีธรรมราช
8899210205167|โรงพยาบาลส่งเสริมสุขภาพตำบลปะเสยะวอ จังหวัดปัตตานี
8899210206337|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านงิ้วเฒ่า ตำบลแม่สาบ จังหวัดเชียงใหม่
8899210207560|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเป้า ตำบลบ้านเป้า จังหวัดเชียงใหม่
8899210208762|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าช้าง  ตำบลหนองหมากฝ้าย จังหวัดสระแก้ว
8899210209978|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกุดค้า  ต.ทุ่งฝน จังหวัดอุดรธานี
8899210200565|โรงพยาบาลหนองหาน จังหวัดอุดรธานี
8899210201790|โรงพยาบาลส่งเสริมสุขภาพตำบลบางไผ่ จังหวัดฉะเชิงเทรา
8899210203000|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบ่อแก้ว จังหวัดแพร่
8899210204210|โรงพยาบาลส่งเสริมสุขภาพตำบลบ่อทอง จังหวัดพิษณุโลก
8899210205438|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังทับไทร ตำบลหนองปลาไหล จังหวัดพิจิตร
8899210206385|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดงใหญ่ จังหวัดมหาสารคาม
8899210207116|โรงพยาบาลส่งเสริมสุขภาพตำบล จ.ป.ร.
8899210208809|โรงพยาบาลส่งเสริมสุขภาพตำบลกุ่มหัก จังหวัดสระบุรี
8899210210027|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าลี่  ต.ท่าลี่ จังหวัดอุดรธานี
8899210200613|โรงพยาบาลสูงเนิน จังหวัดนครราชสีมา
8899210201837|โรงพยาบาลส่งเสริมสุขภาพตำบลโยธะกา จังหวัดฉะเชิงเทรา
8899210203047|โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ตึ๊ด ตำบลแม่พุง จังหวัดแพร่
8899210204258|โรงพยาบาลส่งเสริมสุขภาพตำบลบางศรีเมือง จังหวัดนนทบุรี
8899210206642|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าตอน ตำบลท่าตอน จังหวัดเชียงใหม่
8899210207859|โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยยาง จังหวัดเลย
8899210209065|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยแม่ซ้าย จังหวัดเชียงราย
8899210210285|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโพธิ์สวัสดิ์  ตำบลสระแก้ว จังหวัดกำแพงเพชร
8899210200889|โรงพยาบาลปาดังเบซาร์ จังหวัดสงขลา
8899210202089|โรงพยาบาลส่งเสริมสุขภาพตำบลท่าโป่ง จังหวัดชัยภูมิ
8899210203308|โรงพยาบาลส่งเสริมสุขภาพตำบลนางาม จังหวัดนครพนม
8899210204519|โรงพยาบาลส่งเสริมสุขภาพตำบลดงป่าคำ จังหวัดพิจิตร
8899210205485|โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยเขน จังหวัดพิจิตร
8899210206689|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกุดแห่ ตำบลกุดแห่ จังหวัดยโสธร
8899210207906|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกู่ ตำบลกู่ จังหวัดศรีสะเกษ
8899210209113|โรงพยาบาลส่งเสริมสุขภาพตำบลดอนมะเกลือ จังหวัดสุพรรณบุรี
8899210210333|โรงพยาบาลส่งเสริมสุขภาพตำบลวังชะโอน ตำบลวังชะโอน จังหวัดกำแพงเพชร
8899210200090|โรงพยาบาลแจ้ห่ม จังหวัดลำปาง
8899210200937|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งประสาน จังหวัดกระบี่
8899210202136|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนน้อย จังหวัดชัยภูมิ
8899210203355|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทรายมูล ตำบลน้ำก่ำ จังหวัดนครพนม
8899210204566|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกสะอาด ตำบลหอคำ จังหวัดบึงกาฬ
8899210205736|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสันติสุข จังหวัดพะเยา
8899210206945|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าม่วง    ตำบลท่าม่วง จังหวัดร้อยเอ็ด
8899210208163|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดงคำโพธิ์ ตำบลปลาโหล จังหวัดสกลนคร
8899210209373|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบางเหรียง จังหวัดสุราษฎร์ธานี
8899210200093|โรงพยาบาลแม่พริก จังหวัดลำปาง
8899210201200|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านฝายแตก จังหวัดกาฬสินธุ์
8899210202395|โรงพยาบาลส่งเสริมสุขภาพตำบลนาทุ่ง จังหวัดสุโขทัย
8899210203594|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปรางค์ จังหวัดนครราชสีมา
8899210204809|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหัวถนน ตำบลหัวถนน จังหวัดบุรีรัมย์
8899210205802|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคั๊วะ ตำบลศรีภูมิ จังหวัดน่าน
